_id,Collection unit ID,Department,Division,Section,Collection unit name,Taxon,Taxon rank,Taxon ID,Taxon ID source,Informal taxon,Type collection,Geographic origin,Earliest geological period,Latest geological period,Item type,Preservation method,Curatorial unit type,Bibliographic level,Fond reference,Reporting count,Reporting metric used,Item count,Item count confidence,Curatorial unit count,Curatorial unit count confidence,C1: Physical accessibility,S1: Strategy/mission/research,S2: Scope and depth,S3: Significance by comparison,S4: Usage,I1: Digitisation,I2: Identification,I4: Development potential,O1: Education suitability,O3: Exhibition suitability
7501,1,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Aberystwyth Microfossil Collection,,,,,Foraminifera and Ostracods,,World marine and terrestrial/freshwater,Ordovician,Holocene,Microfossils,Microscope slide,Microfossils - slides,,,600000,Item count,600000,Medium,60000,High,4,3,3,4.9,3,1,3,2,2,2
7502,2,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Acritarchs & Chitinozoa,,,,,Acritarchs & Chitinozoa,,World marine,Ordovician,Carboniferous,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,2000,Curatorial unit count,,,2000,High,2,3,2,1,2,3,4,3,2,2
7503,4,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Conodonts,Conodonta,class,33816,Paleobiology Database,Conodonts,,,Cambrian,Triassic,Microfossils,Microscope slide,Microfossils - slides,,,6000,Curatorial unit count,600000,Low,6000,Medium,3,3,2.5,3,2.1,3.3,3.4,3,2,2
7504,5,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Dinoflagellates,,,,,Dinoflagellates,,,Jurassic,,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,2000,Curatorial unit count,,,2000,High,3,3,3,3,2,3,3.95,3,2,2
7505,7,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Foraminifera - Recent,Foraminifera,phylum,288974,Paleobiology Database,Foraminifera,,,,,Microfossils,Microscope slide,Microfossils - slides,,,262500,Item count,262500,Low,26250,High,3,3,5,4.5,4,3.2,3.35,4,2,2
7506,8,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Hull Ostracods,Ostracoda,class,22826,Paleobiology Database,Ostracods,,,Jurassic,Holocene,Microfossils,Microscope slide,Microfossils - slides,,,72600,Item count,72600,Low,7260,High,4,3,3,3,3,3,3,4,2,2
7507,9,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Henson and Associates Collection,Foraminifera,phylum,288974,Paleobiology Database,,,,Carboniferous,Holocene,Microfossils,Microscope slide,Microfossils - slides,,,35000,Item count,35000,Medium,7000,High,3.95,4,4,5,5,3,3,4,2,2
7508,10,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,John Williams Index of Palaeopalynology,,,,,Palynology,,,,,Paper,Other,Paper,,,275000,Item count,275000,High,1,Precise,4,4,5,4,2.3,1,4,4,1,1
7509,13,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Miospores,,,,,Miospores,,,Ordovician,Holocene,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,8400,Curatorial unit count,,,8400,High,2,3,2,2,2,3,4,3,2,2
7510,14,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Modern Pollen,,,,,Pollen,,,,,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,12226,Curatorial unit count,,,12226,Precise,4,4,5,4,3,1,5,4,2,2
7511,15,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Nannofossils,,,,,Coccoliths,,,Cretaceous,Holocene,Microfossils,Filters,Microfossils - filters (inestimable),,,9000,Curatorial unit count,,,9000,Medium,3,3,3,3,2,2.5,1,3,2,2
7512,20,Earth Sciences,ES Mineral and Planetary Sciences,Petrology,Building Stones,,,,,,,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,10000,Item count,10000,High,10000,High,3.6,3,3,4,3,4,3,3,5,4
7513,21,Earth Sciences,ES Mineral and Planetary Sciences,Petrology,Former BGS Economic Minerals,,,,,,,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,12000,Item count,12000,Medium,6000,Medium,2,2,2,2,2,4,3,1,3,2
7514,22,Earth Sciences,ES Mineral and Planetary Sciences,Petrology,Ocean Bottom Deposits collection,,,,,,,,,,Ocean bottom,Dried,Sediment - ocean,,,28254,Item count,28254,High,28254,Precise,3.8,4,5,4,3,4,1,3,4.05,4.05
7515,24,Earth Sciences,ES Mineral and Planetary Sciences,Petrology,Soils,,,,,,,,,,Soils,Dried,Sediment - soils,,,1000,Item count,1000,High,1000,High,3,3,2,2,3,4,1,2,3,2
7516,27,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,"Arthropoda researchers’ collections (Fieldwork, loans from other institutions, ongoing projects)",Arthropoda,phylum,18891,Paleobiology Database,Arthropoda,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,25000,Item count,25000,Low,17000,Low,2.5,3.9,3,3.4,1.2,1,2,4.5,1,1
7517,29,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,Burgess Shale,Arthropoda,phylum,18891,Paleobiology Database,Arthropoda,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,64,Item count,64,High,47,High,5,5,3,3.3,3.2,1.32,4.55,2.55,1.1,2.25
7518,30,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,Chelicerata,,,,,Chelicerata,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,9000,Item count,9000,Low,7000,Low,3.9,4.8,4.25,4.1,3.2,1.22,4.25,4.5,1.201,1.434
7519,31,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,"Crustacea – Cirripedes, Decapoda",,,,,Crustacea,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,40000,Item count,40000,Low,26000,Low,3.7,4.8,3.9,4.1,3.7,1.39,3.88,4.5,1.21,1.434
7520,32,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,Hexapoda – including specialist storage for pyritic insect material,,,,,Hexapoda,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,20000,Item count,20000,Medium,14000,Low,3.75,4.8,4.2,4,4,1.55,3.67,4.5,1.2,1.434
7521,34,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,Myriapoda,Myriapoda,class,291092,Paleobiology Database,Myriapoda,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,150,Item count,150,Medium,80,Medium,3.7,4.8,4.1,4.1,3.04,1.05,4.5,4.5,1.2,1.45
7522,35,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Arthropoda,Trilobitomorpha,Trilobita,class,19100,Paleobiology Database,Trilobitomorpha,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,150000,Item count,150000,Low,100000,Low,4.7,4.8,4.8,4.1,3.6,1.39,4.8,4.5,1.201,1.923
7523,37,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,Brachiopod serial sections (paper documents),Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Phanerozoic,Phanerozoic,Paper,Other,Paper,,,100,Item count,100,Medium,100,Medium,3,2,2,1,1,1.2,1,1,1,1
7524,38,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,Brachiopod serial sections (slides),Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Phanerozoic,Phanerozoic,Macrofossils,Microscope slide,Macrofossils - slides,,,3300,Item count,3300,Low,500,Low,3,2,2,1,1,2,4,1,1,1
7525,40,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,Duplicate and reserve brachiopods,Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Phanerozoic,Phanerozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,41296,Item count,41296,Medium,20000,Low,5,1,4,2,1,1,1,4,3.6,1
7526,41,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,Glass mountain Permian brachiopods,Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Permian,Permian,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,500,Item count,500,Low,400,Low,3.6,3.15,4,4,1.1,2.5,4,3.1,1,1.04
7527,43,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,"Historically important (Davidson, Darwin, Sowerby etc) brachiopods",Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Phanerozoic,Phanerozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,16732,Item count,16732,Low,47000,Low,5,5,5,5,3.35,2.55,5,4.5,2.4,5
7528,47,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,Cenozoic brachiopods,Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Cenozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,5947,Item count,5947,High,5000,Low,4,3.7,4,4,2.9,2.1,4.5,3.5,1.32,1.32
7529,58,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Brachiopoda,Unsorted brachiopod field collections (Palaeozoic-Cenozoic),Brachiopoda,phylum,26322,Paleobiology Database,Brachiopods,,World marine,Palaeozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,231400,Item count,231400,Low,10000,Low,2,2,1,1,1,1,1,3.5,1,1
7530,62,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Ammonoidea (Gault Clay),Cephalopoda,class,12315,Paleobiology Database,Ammonoidea,,Europe,Aptian,Albian,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,15175,Item count,15175,Medium,10000,Low,3.5,3,5,5,2.5,3,4,4.01,1.1,2.6
7531,65,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Cenozoic nautiloids,Cephalopoda,class,12315,Paleobiology Database,Nautiloidea,,World marine,Cenozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,1869,Item count,1869,Medium,1300,Medium,3,3.5,5,4,2.1,2,4,3.5,1.1,3
7532,66,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Cephalopod Moulds,Cephalopoda,class,12315,Paleobiology Database,Cephalopoda,,World marine,Phanerozoic,Phanerozoic,Artefacts,Other,Casts and moulds,,,285,Item count,285,Precise,285,Precise,2,1,1,1,1,1,2.1,1,4,1
7533,67,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Cephalopod slides,Cephalopoda,class,12315,Paleobiology Database,Cephalopoda,,World marine,Phanerozoic,Phanerozoic,Macrofossils,Microscope slide,Macrofossils - slides,,,350,Item count,350,Low,250,Low,3,2,2,1,1,2,3,1,1.2,1
7534,68,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Duplicate and reserve cephalopods,Cephalopoda,class,12315,Paleobiology Database,Cephalopoda,,World marine,Phanerozoic,Phanerozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,3650,Item count,3650,Low,2000,Low,2,1,2,1,1,1,3,1,2,1
7535,74,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Parsons Collection Ammonoidea,Cephalopoda,class,12315,Paleobiology Database,Ammonoidea,,Europe,Jurassic,Jurassic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,3204,Item count,3204,Medium,3000,Medium,2,3,5,4.5,3.5,1,4.4,4,3.5,3
7536,75,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Pinkney collection belemnites,Cephalopoda,class,12315,Paleobiology Database,Belemnoidea,,Europe,Cretaceous,Cretaceous,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,6400,Item count,6400,Precise,6400,Precise,2,2,5,3,1,1,4,4,3,3
7537,78,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Recent comparative cephalopods,Cephalopoda,class,12315,Paleobiology Database,Cephalopoda,,World marine,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,20,Item count,20,Precise,20,Precise,4,1,2,1,2,1.5,2,1,3,1
7538,83,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cephalopoda,Non-belemnoid coleoids,Cephalopoda,class,12315,Paleobiology Database,Coleoidea,,World marine,Triassic,Quaternary,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,500,Item count,500,Medium,500,Low,4,4,5,5,3,3,3.6,4.2,1.4,3
7539,87,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cnidaria,Cenozoic Cnidaria,Cnidaria,phylum,4524,Paleobiology Database,Cnidaria,,,Cenozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,53000,Item count,53000,Medium,50000,Medium,3.9,3.4,3,3.7,3.4,2.05,3.4,4.2,1.24,1.19
7540,88,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cnidaria,Mesozoic Cnidaria,Cnidaria,phylum,4524,Paleobiology Database,Cnidaria,,,Mesozoic,Mesozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,18000,Item count,18000,Medium,14000,Medium,3.9,3.25,3,3.7,3.4,1.9,3.4,4.2,1.24,1.19
7541,89,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cnidaria,Palaeozoic Cnidaria,Cnidaria,phylum,4524,Paleobiology Database,Cnidaria,,,Palaeozoic,Palaeozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,30000,Item count,30000,Medium,15000,Medium,3.9,3.25,3,3.7,3.4,1.9,3.4,4.2,1.24,1.19
7542,90,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Cnidaria,Recent comparative Cnidaria 1,Cnidaria,phylum,4524,Paleobiology Database,Cnidaria,,,,,Whole organisms,Dried,Whole organisms - dry,,,500,Item count,500,Medium,450,Medium,3.9,2.9,2.5,2.1,2.2,1.4,3.1,3,1.24,1
7543,92,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Echinodermata,Echinodermata Oversized Collections 1,Echinodermata,phylum,30739,Paleobiology Database,Echinodermata,,,Palaeozoic,Mesozoic,Macrofossils,Oversize specimens,Macrofossils - oversize,,,176,Item count,176,Precise,176,Precise,2.8,4.2,3.75,3.8,3.4,2.06,4.5,4,2.75,4.8
7544,93,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Echinodermata,Reserve/duplicate echinoderm collection,Echinodermata,phylum,30739,Paleobiology Database,Echinodermata,,,Palaeozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,2000,Item count,2000,Medium,1000,Medium,3.5,2.3,2,2,2.3,1,4.3,2.5,2.6,1.85
7545,94,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Echinodermata,Scientific models echinoderm,Echinodermata,phylum,30739,Paleobiology Database,Echinodermata,,,,,Artefacts,Other,Models,,,28,Item count,28,Precise,28,Precise,3,4.8,4.5,4,3.5,1,5,2,2.2,3
7546,97,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Echinodermata,Echinoderm hand specimen collections,Echinodermata,phylum,30739,Paleobiology Database,Echinodermata,,,Palaeozoic,Mesozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,2000,Item count,2000,Medium,2000,Medium,3,4,3,3,2.5,1,5,2,1.4,2.4
7547,98,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Graptolites,Graptolithina,Hemichordata,phylum,33518,Paleobiology Database,Graptolites,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,30000,Item count,30000,Low,20000,Low,2.667,4.8,4.4,3.8,4.1,1.22,3.1,5,1.21,1.434
7548,99,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Graptolites,Graptolithina researchers’ collections (ditto),Hemichordata,phylum,33518,Paleobiology Database,Graptolites,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,12000,Item count,12000,Low,7000,Low,2,3.9,3,3.4,1.2,1,1.5,4.5,1,1
7549,100,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Historical collections - Palaeobiology,William Smith fossils,,,,,Historical,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,1200,Item count,1200,Medium,1200,Medium,4,5,5,4.9,4.9,2,4.6,4.8,4.8,4.6
7550,101,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Historical collections - Palaeobiology,William Smith rocks,,,,,Historical,,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,200,Item count,200,Medium,200,Medium,4,5,5,4.8,4.5,2,3.9,4.2,4.2,4.2
7551,102,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,Backlog systematic/diverse mollusc collections to split,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,303690,Item count,303690,High,57730,High,2,5,4.45,3.45,2,1.5,2.9,5,3,3
7552,103,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,Ex-exhibits/mounts and slabs,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,2370,Item count,2370,Medium,500,Medium,1.17,2.8,4.98,4,1,2,4,4,4,4
7553,104,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,Global Cenozoic freshwater and land faunas,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,Cenozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,10400,Curatorial unit count,105000,Medium,10400,High,1.6,5,4,4.4,5,1.8,4.04,5,4,4
7554,105,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,Global Mesozoic and Paleozoic mollusc faunas/samples,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,Palaeozoic,Mesozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,65830,Item count,65830,Medium,9860,Medium,2,5,5,5,1,1,1,5,4,1
7555,106,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,Global Minor Classes molluscs,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,20000,Item count,20000,High,6860,High,2.9,5,4,4,5,2,1.8,5,4,4
7556,108,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,UK and Global Systematic Bivalves,Bivalvia,class,16005,Paleobiology Database,Bivalves,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,715400,Item count,715400,High,121620,High,4,5,5,5,5,2,1.704,5,3.1,2.61
7557,109,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,UK and Global Systematic Gastropods,Gastropoda,class,8304,Paleobiology Database,Gastropods,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,625000,Item count,625000,High,120120,High,4,5,5,5,5,2,1.704,5,3.1,2.61
7558,112,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,"Segregated historic mollusc collections (Brander, Darwin, Sowerby etc)",Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,16200,Item count,16200,High,6480,High,3.4,5,5,5,4.1,2.1,4.05,5,4.1,4.1
7559,113,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,Tropical Cenozoic faunas/bulk samples,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,,Cenozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,69234,Item count,69234,Medium,9335,Medium,2,5,5,5,5,2,2.6,5,4,4
7560,114,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,UK and NW European Cenozoic bulk-sampled/faunas,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,Europe,Cenozoic,Cenozoic,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,770000,Item count,770000,High,57460,High,1.9,5,5,5,3,1.22,2.91,5,3.2,4
7561,115,Earth Sciences,ES Invertebrates and Plants Palaeobiology,ES Mollusca,UK Quaternary and Pleistocene freshwater/land faunas,Mollusca,phylum,7805,Paleobiology Database,Mollusca,,Europe,Quaternary,Pleistocene,Whole organisms,Dried,Whole organisms - dry,,,37102,Curatorial unit count,2080000,Medium,37102,Medium,1.75,5,5,5,3.05,1.05,3.27,5,3.5,4
7562,120,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeoecology,Palaeoecology,,,,,,,World marine,Cambrian,Holocene,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,547,Item count,547,Precise,547,Precise,4,3.85,3.4,3.4,3,4,3.6,3.4,2,2
7563,121,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Problematica,Non-biological Problematica,,,,,Trace fossils,,,,,Macrofossils,Hand specimens,Macrofossils - hand specimens,,,1000,Item count,1000,Medium,950,Medium,3,3.25,3,1.1,2.1,1.9,1.9,2.5,1.24,1.24
7564,130,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Cambrian Palaeobotany,,,,,"Plants, Algae, Fungi",,,Cambrian,Cambrian,Mixed,Other,Mixed,,,100,Item count,100,Medium,100,Medium,2.8,5,3,4.15,3.3,1.95,3.75,4,4,4
7565,131,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Carboniferous Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Carboniferous,Carboniferous,Mixed,Other,Mixed,,,120000,Item count,120000,Low,100000,Low,2.3,5,3.5,4.7,4.5,1.9,4,4.7,3.8,4.1
7566,132,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Cretaceous Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Cretaceous,Cretaceous,Mixed,Other,Mixed,,,34000,Item count,34000,Low,34000,Low,2.9,5,3.5,4.6,5,2.01,4.5,4.5,4,4.1
7567,133,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Devonian Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Devonian,Devonian,Mixed,Other,Mixed,,,35000,Item count,35000,Low,35000,Low,1.9,5,3.6,4.7,5,2.19,3.71,5,4.3,4.2
7568,134,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Jurassic Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Jurassic,Jurassic,Mixed,Other,Mixed,,,63000,Item count,63000,Low,63000,Low,3.1,5,3.5,5,5,1.97,4.5,5,4.1,4.5
7569,135,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Neogene Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Neogene,Neogene,Mixed,Other,Mixed,,,13000,Item count,13000,Low,13000,Low,2.85,5,3,4.25,3.9,2.17,4,4.75,4,4.2
7570,136,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Ordovician Palaeobotany,,,,,"Plants, Algae, Fungi",,,Ordovician,Ordovician,Mixed,Other,Mixed,,,700,Item count,700,Medium,700,Medium,3.2,5,3,4.3,3.85,1.91,3.7,4.2,4.15,4
7571,137,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Paleogene Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Palaeogene,Palaeogene,Mixed,Other,Mixed,,,60000,Item count,60000,Low,40000,Low,1.65,5,3.4,4.5,5,2.14,4.3,5,4,4.2
7572,138,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Permian Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Permian,Permian,Mixed,Other,Mixed,,,18000,Item count,18000,Low,18000,Low,3.5,5,3,5,4.5,1.95,4.2,4.5,4.25,4.5
7573,139,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Precambrian Palaeobotany,,,,,"Plants, Algae, Fungi",,,Archean,Proterozoic,Mixed,Other,Mixed,,,200,Item count,200,Medium,200,Medium,3.1,5,2.8,4.2,5,2.01,3.9,5,4.4,4.5
7574,140,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Quaternary Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Quaternary,Quaternary,Mixed,Other,Mixed,,,12000,Item count,12000,Low,12000,Low,2.9,5,3,4.5,4.5,2.06,4.3,5,4,4.1
7575,141,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Silurian Palaeobotany,,,,,"Plants, Algae, Fungi",,,Silurian,Silurian,Mixed,Other,Mixed,,,1000,Item count,1000,Medium,1000,Medium,3.4,5,3,4.25,4.15,3.29,3.6,5,4.1,4
7576,142,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Palaeobotany,Triassic Palaeobotany 2,,,,,"Plants, Algae, Fungi",,,Triassic,Triassic,Mixed,Other,Mixed,,,20000,Item count,20000,Low,20000,Low,2.5,5,3,4,4.35,2.02,4,5,4,4.1
7577,146,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Artificial Materials (chemicals),,,,,,,,,,Rocks minerals,Matrix free,Rocks/minerals - matrix-free,,,1000,Item count,1000,Medium,1000,Medium,3,3,2,2,2,4,2,2,1.35,1.27
7578,147,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Ashcroft Mineral Collection,,,,,,,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,8500,Item count,8500,High,8000,High,3.8,4.5,5,5,4,3.95,4.05,3,1.2,4.5
7579,150,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Historic Apparatus collection,,,,,,,,,,Other,Other,Equipment,,,2000,Item count,2000,Low,1000,Low,1.92,1.1,2,3,1,1.9,2.1,1.05,3.25,3.25
7580,151,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Kingsbury Mineral Collection,,,,,,,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,20000,Item count,20000,Medium,15000,Medium,2.5,4,3,2,4,2.8,2.6,3,1.5,4
7581,152,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Ludlam Mineral Collection,,,,,,,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,18000,Item count,18000,High,18000,High,4.45,4,4,3,5,3,3.5,3,1.5,4
7582,157,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Mineral Crystal Models Collection,,,,,,,,,,Artefacts,Other,Models and casts,,,4000,Item count,4000,Medium,200,High,3.9,2,4,2.5,3.5,3,3.3,2,2.85,3.55
7583,158,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Mineral Polished block collection,,,,,,,,,,Rocks minerals,Polished blocks,Rocks/minerals - polished blocks,,,4000,Item count,4000,Low,3500,Low,2.5,4.5,4,3,5,3.5,4.1,4,1.65,1.5
7584,160,Earth Sciences,ES Mineral and Planetary Sciences,Minerals,Type Mineral collection,,,,,,yes,,,,Rocks minerals,Hand specimens,Rocks/minerals - hand specimens,,,700,Item count,700,High,600,High,3.6,5,5,5,5,4,5,5,1.2,4
7585,161,Earth Sciences,ES Vertebrates and Anthropology Palaeobiology,Anthropology,"Models, Moulds and Busts",,,,,,,,,,Artefacts,Other,Models and casts,,,1000,Item count,1000,Low,1000,Low,3.81,3.4,4,3,3,1.6,3.7,2.8,3.5,2
7586,165,Earth Sciences,ES Vertebrates and Anthropology Palaeobiology,Anthropology,Fossil Primates,Primates,order,40700,Paleobiology Database,Primates,,,,,Mixed,Other,Mixed,,,2800,Item count,2800,Medium,2800,Medium,3,3.7,4,4,4.3,2.95,3.4,4,4.1,3.3
